,State,County,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating
0,AK,ANCHORAGE,3,3,3.3333333333333335
1,AK,BETHEL,1,1,3.0
2,AK,FAIRBANKS NORTH STAR,1,1,4.0
3,AK,JUNEAU,1,1,3.0
4,AK,MATANUSKA SUSITNA,1,1,2.0
5,AL,AUTAUGA,1,1,4.0
6,AL,BALDWIN,3,3,2.6666666666666665
7,AL,BARBOUR,1,1,4.0
8,AL,BIBB,1,1,3.0
9,AL,BULLOCK,1,1,3.0
10,AL,BUTLER,2,2,3.5
11,AL,CALHOUN,3,3,2.6666666666666665
12,AL,CHEROKEE,1,1,4.0
13,AL,CLARKE,2,2,3.0
14,AL,CLAY,1,1,4.0
15,AL,COFFEE,1,1,2.0
16,AL,COLBERT,2,2,2.5
17,AL,CONECUH,1,1,3.0
18,AL,COVINGTON,2,2,2.5
19,AL,CRENSHAW,1,1,4.0
20,AL,CULLMAN,1,1,2.0
21,AL,DALE,1,1,4.0
22,AL,DALLAS,1,1,3.0
23,AL,DE KALB,1,1,3.0
24,AL,ELMORE,2,2,4.0
25,AL,ESCAMBIA,2,2,3.0
26,AL,ETOWAH,2,2,2.5
27,AL,FAYETTE,1,1,4.0
28,AL,FRANKLIN,2,1,4.0
29,AL,GENEVA,1,1,3.0
30,AL,GREENE,1,1,3.0
31,AL,HALE,1,1,3.0
32,AL,HOUSTON,2,2,3.5
33,AL,JACKSON,1,1,3.0
34,AL,JEFFERSON,9,7,2.7142857142857144
35,AL,LAUDERDALE,1,1,2.0
36,AL,LAWRENCE,1,1,4.0
37,AL,LEE,1,1,3.0
38,AL,LIMESTONE,2,1,2.0
39,AL,MADISON,2,2,2.0
40,AL,MARENGO,1,1,2.0
41,AL,MARION,2,2,4.0
42,AL,MARSHALL,1,1,2.0
43,AL,MOBILE,5,4,2.0
44,AL,MONROE,1,1,3.0
45,AL,MONTGOMERY,3,3,3.0
46,AL,MORGAN,1,1,2.0
47,AL,PICKENS,1,1,3.0
48,AL,PIKE,1,1,2.0
49,AL,RANDOLPH,1,1,4.0
50,AL,RUSSELL,1,1,4.0
51,AL,SAINT CLAIR,1,1,4.0
52,AL,SHELBY,1,1,3.0
53,AL,TALLADEGA,2,2,2.5
54,AL,TALLAPOOSA,2,2,3.0
55,AL,TUSCALOOSA,1,1,2.0
56,AL,WALKER,1,1,4.0
57,AL,WINSTON,1,1,5.0
58,AR,ARKANSAS,2,1,4.0
59,AR,BAXTER,1,1,2.0
60,AR,BENTON,3,2,3.5
61,AR,BOONE,1,1,4.0
62,AR,COLUMBIA,1,1,3.0
63,AR,CRAIGHEAD,2,2,2.0
64,AR,CRAWFORD,1,1,3.0
65,AR,DREW,1,1,3.0
66,AR,FAULKNER,2,1,2.0
67,AR,GARLAND,3,2,1.5
68,AR,GREENE,1,1,1.0
69,AR,HEMPSTEAD,1,1,3.0
70,AR,HOT SPRING,1,1,4.0
71,AR,INDEPENDENCE,1,1,4.0
72,AR,JEFFERSON,1,1,1.0
73,AR,JOHNSON,1,1,3.0
74,AR,MISSISSIPPI,2,1,1.0
75,AR,OUACHITA,1,1,3.0
76,AR,PHILLIPS,1,1,2.0
77,AR,POLK,1,1,3.0
78,AR,POPE,1,1,2.0
79,AR,PULASKI,9,8,2.125
80,AR,RANDOLPH,1,1,4.0
81,AR,SAINT FRANCIS,1,1,2.0
82,AR,SALINE,1,1,2.0
83,AR,SEBASTIAN,2,2,2.5
84,AR,UNION,1,1,2.0
85,AR,WASHINGTON,3,2,2.5
86,AR,WHITE,1,1,3.0
87,AR,YELL,2,1,4.0
88,AZ,APACHE,4,2,2.0
89,AZ,COCHISE,4,1,1.0
90,AZ,COCONINO,3,2,3.0
91,AZ,GILA,3,1,4.0
92,AZ,GRAHAM,1,1,3.0
93,AZ,MARICOPA,35,26,3.3846153846153846
94,AZ,MOHAVE,4,4,2.25
95,AZ,NAVAJO,4,1,5.0
